characterId,character,characterSlug,pose,clothing,restraint,state,relativePath
"S-AV-01","Мира","mira","standing","nude","none","neutral","public/character-images/rendered/mira/standing__nude__none__neutral.png"
"S-AV-01","Мира","mira","standing","nude","none","receptive","public/character-images/rendered/mira/standing__nude__none__receptive.png"
"S-AV-01","Мира","mira","standing","nude","none","guarded","public/character-images/rendered/mira/standing__nude__none__guarded.png"
"S-AV-01","Мира","mira","standing","nude","none","high_positive","public/character-images/rendered/mira/standing__nude__none__high_positive.png"
"S-AV-01","Мира","mira","standing","nude","none","high_negative","public/character-images/rendered/mira/standing__nude__none__high_negative.png"
"S-AV-01","Мира","mira","standing","nude","none","subspace","public/character-images/rendered/mira/standing__nude__none__subspace.png"
"S-AV-01","Мира","mira","standing","nude","none","climax","public/character-images/rendered/mira/standing__nude__none__climax.png"
"S-AV-01","Мира","mira","standing","nude","none","unconscious","public/character-images/rendered/mira/standing__nude__none__unconscious.png"
"S-AV-01","Мира","mira","standing","underwear","none","neutral","public/character-images/rendered/mira/standing__underwear__none__neutral.png"
"S-AV-01","Мира","mira","standing","underwear","none","receptive","public/character-images/rendered/mira/standing__underwear__none__receptive.png"
"S-AV-01","Мира","mira","standing","underwear","none","guarded","public/character-images/rendered/mira/standing__underwear__none__guarded.png"
"S-AV-01","Мира","mira","standing","underwear","none","high_positive","public/character-images/rendered/mira/standing__underwear__none__high_positive.png"
"S-AV-01","Мира","mira","standing","underwear","none","high_negative","public/character-images/rendered/mira/standing__underwear__none__high_negative.png"
"S-AV-01","Мира","mira","standing","underwear","none","subspace","public/character-images/rendered/mira/standing__underwear__none__subspace.png"
"S-AV-01","Мира","mira","standing","underwear","none","climax","public/character-images/rendered/mira/standing__underwear__none__climax.png"
"S-AV-01","Мира","mira","standing","underwear","none","unconscious","public/character-images/rendered/mira/standing__underwear__none__unconscious.png"
"S-AV-01","Мира","mira","standing","dress","none","neutral","public/character-images/rendered/mira/standing__dress__none__neutral.png"
"S-AV-01","Мира","mira","standing","dress","none","receptive","public/character-images/rendered/mira/standing__dress__none__receptive.png"
"S-AV-01","Мира","mira","standing","dress","none","guarded","public/character-images/rendered/mira/standing__dress__none__guarded.png"
"S-AV-01","Мира","mira","standing","dress","none","high_positive","public/character-images/rendered/mira/standing__dress__none__high_positive.png"
"S-AV-01","Мира","mira","standing","dress","none","high_negative","public/character-images/rendered/mira/standing__dress__none__high_negative.png"
"S-AV-01","Мира","mira","standing","dress","none","subspace","public/character-images/rendered/mira/standing__dress__none__subspace.png"
"S-AV-01","Мира","mira","standing","dress","none","climax","public/character-images/rendered/mira/standing__dress__none__climax.png"
"S-AV-01","Мира","mira","standing","dress","none","unconscious","public/character-images/rendered/mira/standing__dress__none__unconscious.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","neutral","public/character-images/rendered/mira/standing__dress_stockings__none__neutral.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","receptive","public/character-images/rendered/mira/standing__dress_stockings__none__receptive.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","guarded","public/character-images/rendered/mira/standing__dress_stockings__none__guarded.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","high_positive","public/character-images/rendered/mira/standing__dress_stockings__none__high_positive.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","high_negative","public/character-images/rendered/mira/standing__dress_stockings__none__high_negative.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","subspace","public/character-images/rendered/mira/standing__dress_stockings__none__subspace.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","climax","public/character-images/rendered/mira/standing__dress_stockings__none__climax.png"
"S-AV-01","Мира","mira","standing","dress_stockings","none","unconscious","public/character-images/rendered/mira/standing__dress_stockings__none__unconscious.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","neutral","public/character-images/rendered/mira/standing__jumpsuit__none__neutral.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","receptive","public/character-images/rendered/mira/standing__jumpsuit__none__receptive.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","guarded","public/character-images/rendered/mira/standing__jumpsuit__none__guarded.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","high_positive","public/character-images/rendered/mira/standing__jumpsuit__none__high_positive.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","high_negative","public/character-images/rendered/mira/standing__jumpsuit__none__high_negative.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","subspace","public/character-images/rendered/mira/standing__jumpsuit__none__subspace.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","climax","public/character-images/rendered/mira/standing__jumpsuit__none__climax.png"
"S-AV-01","Мира","mira","standing","jumpsuit","none","unconscious","public/character-images/rendered/mira/standing__jumpsuit__none__unconscious.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","neutral","public/character-images/rendered/mira/standing__lab_gown__none__neutral.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","receptive","public/character-images/rendered/mira/standing__lab_gown__none__receptive.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","guarded","public/character-images/rendered/mira/standing__lab_gown__none__guarded.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","high_positive","public/character-images/rendered/mira/standing__lab_gown__none__high_positive.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","high_negative","public/character-images/rendered/mira/standing__lab_gown__none__high_negative.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","subspace","public/character-images/rendered/mira/standing__lab_gown__none__subspace.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","climax","public/character-images/rendered/mira/standing__lab_gown__none__climax.png"
"S-AV-01","Мира","mira","standing","lab_gown","none","unconscious","public/character-images/rendered/mira/standing__lab_gown__none__unconscious.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","neutral","public/character-images/rendered/mira/standing__calibration_set__none__neutral.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","receptive","public/character-images/rendered/mira/standing__calibration_set__none__receptive.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","guarded","public/character-images/rendered/mira/standing__calibration_set__none__guarded.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","high_positive","public/character-images/rendered/mira/standing__calibration_set__none__high_positive.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","high_negative","public/character-images/rendered/mira/standing__calibration_set__none__high_negative.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","subspace","public/character-images/rendered/mira/standing__calibration_set__none__subspace.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","climax","public/character-images/rendered/mira/standing__calibration_set__none__climax.png"
"S-AV-01","Мира","mira","standing","calibration_set","none","unconscious","public/character-images/rendered/mira/standing__calibration_set__none__unconscious.png"
"S-AV-01","Мира","mira","sitting","nude","none","neutral","public/character-images/rendered/mira/sitting__nude__none__neutral.png"
"S-AV-01","Мира","mira","sitting","nude","none","receptive","public/character-images/rendered/mira/sitting__nude__none__receptive.png"
"S-AV-01","Мира","mira","sitting","nude","none","guarded","public/character-images/rendered/mira/sitting__nude__none__guarded.png"
"S-AV-01","Мира","mira","sitting","nude","none","high_positive","public/character-images/rendered/mira/sitting__nude__none__high_positive.png"
"S-AV-01","Мира","mira","sitting","nude","none","high_negative","public/character-images/rendered/mira/sitting__nude__none__high_negative.png"
"S-AV-01","Мира","mira","sitting","nude","none","subspace","public/character-images/rendered/mira/sitting__nude__none__subspace.png"
"S-AV-01","Мира","mira","sitting","nude","none","climax","public/character-images/rendered/mira/sitting__nude__none__climax.png"
"S-AV-01","Мира","mira","sitting","nude","none","unconscious","public/character-images/rendered/mira/sitting__nude__none__unconscious.png"
"S-AV-01","Мира","mira","sitting","underwear","none","neutral","public/character-images/rendered/mira/sitting__underwear__none__neutral.png"
"S-AV-01","Мира","mira","sitting","underwear","none","receptive","public/character-images/rendered/mira/sitting__underwear__none__receptive.png"
"S-AV-01","Мира","mira","sitting","underwear","none","guarded","public/character-images/rendered/mira/sitting__underwear__none__guarded.png"
"S-AV-01","Мира","mira","sitting","underwear","none","high_positive","public/character-images/rendered/mira/sitting__underwear__none__high_positive.png"
"S-AV-01","Мира","mira","sitting","underwear","none","high_negative","public/character-images/rendered/mira/sitting__underwear__none__high_negative.png"
